"Country or Area","Year","Value"
"Germany","2012","36863.3419477682"
"Germany","2011","37539.2058689191"
"Germany","2010","36235.5839051823"
"Germany","2009","44221.4984470931"
"Germany","2008","45106.7049690602"
"Germany","2007","44707.9571254149"
"Germany","2006","42827.0062314722"
"Germany","2005","43278.8817779832"
"Germany","2004","45209.7929051653"
"Germany","2003","43033.1248008509"
"Germany","2002","42368.9680593562"
"Germany","2001","43207.45729793"
"Germany","2000","41763.0592806259"
"Germany","1999","41707.0786607244"
"Germany","1998","45219.7200010137"
"Germany","1997","57964.735702456"
"Germany","1996","60865.3361824613"
"Germany","1995","59500.6587855668"
"Germany","1994","60066.0570688368"
"Germany","1993","58959.5668827647"
"Germany","1992","61607.7555217311"
"Germany","1991","60357.5331360651"
"Germany","1990","62522.8445749734"
"Greece","2018","4284.87961600929"
"Greece","2017","4365.15928573946"
"Greece","2016","4302.03695138953"
"Greece","2015","4248.14674210477"
"Greece","2014","4310.79803387064"
"Greece","2013","4517.95691338972"
"Greece","2012","4817.29615751127"
"Greece","2011","5245.24437139333"
"Greece","2010","5489.51817385497"
"Greece","2009","5291.30663447037"
"Greece","2008","5652.56551218265"
"Greece","2007","5892.64888926855"
"Greece","2006","5788.93940137926"
"Greece","2005","5957.51880354227"
"Greece","2004","6128.22322727624"
"Greece","2003","6122.61405287107"
"Greece","2002","6193.99846501704"
"Greece","2001","6235.90118094737"
"Greece","2000","6370.0305072111"
"Greece","1999","6592.30846031626"
"Greece","1998","6636.36628648776"
"Greece","1997","6713.92068802475"
"Greece","1996","6874.26384346442"
"Greece","1995","6702.68306579505"
"Greece","1994","6497.0388610389"
"Greece","1993","6614.09179837031"
"Greece","1992","7169.49259345139"
"Greece","1991","7327.43241592577"
"Greece","1990","7465.10871744564"
"Hungary","2018","4858.69650791553"
"Hungary","2017","4801.38066082458"
"Hungary","2016","4802.03970226161"
"Hungary","2015","4532.27405777994"
"Hungary","2014","4429.95070206935"
"Hungary","2013","4196.82509590991"
"Hungary","2012","3855.72061795653"
"Hungary","2011","3918.94985727194"
"Hungary","2010","3727.61091691286"
"Hungary","2009","3801.61854916655"
"Hungary","2008","4095.19974756932"
"Hungary","2007","4796.09665604302"
"Hungary","2006","5343.92514218188"
"Hungary","2005","5617.17483408932"
"Hungary","2004","5884.20696009188"
"Hungary","2003","5092.93674259679"
"Hungary","2002","5169.66746655412"
"Hungary","2001","5854.89976659399"
"Hungary","2000","5405.13244006289"
"Hungary","1999","5065.26893374915"
"Hungary","1998","5236.78892924139"
"Hungary","1997","5329.15928208785"
"Hungary","1996","5332.33374690801"
"Hungary","1995","4749.67795119367"
"Hungary","1994","5580.55707816909"
"Hungary","1993","4627.48480762649"
